scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
299,1881.58,3,11.47,6,95.57,2,0.01,31.53,92.48,0.01,25.47,292.19,33.5,34986.392760232746,17512.99964941652,34008.33266801087,7,True,True,True,True
298,1531.27,8,33.92,8,117.77,2,0.01,31.21,127.16,0.01,32.29,97.85,30.21,24790.40444975531,17053.069613571948,33602.8039158883,9,True,True,True,True
300,1806.67,10,29.94,8,46.44,2,0.01,84.2,223.15,0.01,94.07,123.48,81.57,18865.254822162733,17181.073665974407,33444.884841086634,5,True,True,True,True
302,1967.54,11,62.41,9,78.42,2,0.01,112.89,226.4,0.01,148.67,76.14,145.29,32086.065887106048,17373.052661104026,33768.1626399597,5,True,True,True,True
301,1321.33,3,28.25,4,117.32,2,0.01,36.41,58.41,0.01,97.34,122.99,91.23,32335.47962030768,17116.654338467604,33455.180544401555,8,True,True,True,True
285,675.2,6,60.48,4,24.75,2,0.01,55.24,246.62,0.01,115.9,186.71,99.3,74024.0413790507,20462.42259253223,37903.20869350396,5,True,True,True,True
295,854.31,6,60.48,2,114.97,2,0.01,78.61,246.1,0.01,98.68,49.5,130.68,69156.62961716807,19281.48233712733,36501.31377601814,5,True,True,True,True
305,1887.41,10,33.37,9,77.66,2,0.01,141.55,178.25,0.01,121.06,207.46,61.64,32905.97107664599,17242.069689114505,33509.032429184736,6,True,True,True,True
304,1611.58,11,30.12,11,85.78,1,0.01,43.71,49.68,0.01,28.62,115.36,24.83,18067.89823100782,16885.294026155643,33367.11357432425,7,True,True,True,True
297,734.19,9,25.76,5,51.95,1,0.01,136.92,174.6,0.01,126.4,104.02,38.29,43386.213614039545,18220.252348449845,34982.00351199439,5,True,True,True,True
