scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
1114,892.08,11,36.32,10,101.99,1,0.01,49.24,129.13,0.01,75.38,156.56,88.7,58467.499720531545,927.327963111254,55235.35204833507,646.9627805440098,109400.69534526288,1254.4390587678013,6,True,True,True,True
1115,1016.71,6,27.94,9,20.96,2,0.01,139.78,237.28,0.01,107.79,285.37,85.31,35700.14388793742,301.5965656911921,58561.357091163474,643.6197060587671,113856.1557735806,1235.20085779937,5,True,True,True,True
1116,2284.96,9,38.11,8,118.46,2,0.01,114.89,266.86,0.01,82.55,237.28,55.17,41598.6941038804,985.2510180589132,55153.6353742838,733.8824176597818,108729.96994249428,1481.3407718002106,8,True,True,True,True
1117,1790.02,11,21.31,10,50.4,1,0.01,30.4,86.1,0.01,28.4,144.82,32.08,12232.898972264162,55.95433888426265,54264.05863780471,889.9246125371334,107861.26955657615,1777.3216672168269,6,True,True,True,True
1118,1281.25,12,10.49,11,21.0,1,0.01,108.21,64.6,0.01,65.55,78.48,52.77,6394.649788302361,113.14213810307275,55026.95780233798,606.5515423333113,109440.9968406702,1207.5776282054526,7,True,True,True,True
1119,1891.92,2,57.71,10,30.21,1,0.01,141.38,288.13,0.01,33.58,73.44,136.35,30474.02943458884,606.7246725424534,64704.49643972112,1493.9869074757414,121975.08463013964,2221.629930693566,9,True,True,True,True
1120,1121.49,6,39.81,8,93.91,1,0.01,35.56,273.19,0.01,122.62,252.75,41.65,75065.20020396131,687.4850515436091,57332.869403047815,820.5340262770186,112069.64363523712,1592.713841210487,5,True,True,True,True
1121,827.15,5,61.06,9,64.76,2,0.01,55.27,157.41,0.01,124.67,289.64,68.72,87413.33546725505,800.4405108410765,57655.54368657248,341.8881294694296,112496.9426643184,609.8079521692644,5,True,True,True,True
1122,2394.96,5,48.32,7,28.32,1,0.01,97.71,226.26,0.01,128.69,135.23,44.85,18049.82031863708,178.4063738436024,57210.20756250294,1170.6033839647266,112877.8123974544,2339.762706415672,7,True,True,True,True
1123,1285.17,7,17.7,5,68.7,1,0.01,72.59,231.22,0.01,98.7,259.87,136.04,41815.70276614769,367.7682927025861,56843.26623735067,599.0789455516639,111070.67609337748,1175.7958270922334,5,True,True,True,True
1124,924.08,2,11.83,6,69.85,2,0.01,101.83,134.99,0.01,149.83,263.66,94.48,55197.77863512476,978.6385900219298,70893.76519881058,1195.7696140401956,129783.80875484308,1670.0487678818429,6,True,True,True,True
1125,2355.12,9,41.57,4,112.46,2,0.01,52.88,211.38,0.01,29.41,283.25,112.08,40031.046249193125,550.7729177847943,56151.582797094175,454.07224943627926,110195.5044500693,886.7200232446341,5,True,True,True,True
1126,997.25,10,41.09,10,94.27,1,0.01,63.03,160.91,0.01,117.82,276.36,37.82,81624.98697407266,1388.924242795929,56129.879080840845,691.5252149830071,110549.77724538484,1388.4531953355458,6,True,True,True,True
1127,2087.16,4,13.99,8,78.51,2,0.01,29.69,209.14,0.01,41.42,146.98,69.54,16301.450329442534,414.0084293695104,55998.280371850735,1348.5297381482214,110480.92983601018,2622.095543533356,9,True,True,True,True
1128,2227.28,6,17.72,6,22.45,1,0.01,108.47,119.47,0.01,25.78,115.66,79.62,6426.143006534908,115.68565434511544,54445.82397828087,562.6012530360108,108014.9132589818,1060.5248933014,7,True,True,True,True
1129,1472.96,7,37.18,10,109.38,1,0.01,126.99,178.57,0.01,114.67,225.96,110.39,57194.03254278184,688.7198100625394,55768.3986268591,1274.0061377201655,109703.62067940558,2546.7407003189514,9,True,True,True,True
1130,1007.86,9,42.41,6,93.11,2,0.01,140.89,51.61,0.01,82.86,200.22,26.31,61298.09191279666,866.8251766835739,55536.04152494536,1003.1707401098588,109383.07646988831,2001.0479495386085,7,True,True,True,True
1131,1760.8,4,38.41,2,25.43,2,0.01,129.64,239.0,0.01,140.45,138.25,98.16,22407.654600183403,231.22586894414025,58553.353687367424,567.4366394866969,114046.69551215772,1053.950908755468,5,True,True,True,True
1132,738.15,12,29.38,2,124.9,2,0.01,110.96,140.36,0.01,76.55,63.1,61.49,50368.35717455341,371.3170593042333,56648.57965211405,780.3281706824885,110983.52467357447,1538.64666008347,5,True,True,True,True
1133,1363.53,3,52.97,12,82.55,1,0.01,140.65,79.93,0.01,145.16,70.52,133.0,31424.40297626435,420.8884399121373,57032.38482665893,913.4183932844364,111723.80055973685,1778.755282283316,6,True,True,True,True
1134,1540.49,11,13.68,5,67.01,1,0.01,32.72,108.86,0.01,37.37,107.14,44.38,13731.604913598774,193.567010618666,54847.758622658206,603.9679359889568,108976.36439548092,1171.0411296073837,5,True,True,True,True
1135,1893.08,5,33.48,8,81.03,2,0.01,79.81,229.29,0.01,32.92,126.43,97.03,24147.59034144239,403.3353149696496,56388.26977196837,1097.8708285990504,111073.47381027332,2220.433538458467,7,True,True,True,True
1136,2354.16,8,53.26,3,98.49,1,0.01,53.25,227.67,0.01,48.66,69.18,97.07,20683.30262036904,275.241898715345,55087.8801041004,1282.874112535612,109131.03396945012,2569.740935648976,8,True,True,True,True
1137,875.98,12,42.31,10,79.8,1,0.01,71.36,287.96,0.01,122.6,129.8,56.66,67874.93824460963,1024.5773709976677,56467.33966023417,892.4161731464983,110984.35808150149,1753.275677954537,5,True,True,True,True
1138,1595.95,11,56.68,8,37.14,2,0.01,91.42,167.32,0.01,127.31,288.03,116.32,35594.606115699295,350.26408435781565,55737.99845058042,1270.3968409266322,109681.1645497824,2512.770659239958,8,True,True,True,True
1139,1791.28,10,60.35,4,35.45,1,0.01,58.06,274.4,0.01,126.05,274.56,118.83,36712.648125665895,407.4433907340594,56560.863752097786,849.4688798744603,110348.36763393876,1614.961589961719,5,True,True,True,True
1140,838.53,4,16.37,5,64.7,1,0.01,86.25,281.2,0.01,76.17,218.88,149.02,55688.8110540792,786.6229303808208,64197.10390358218,1003.990324192182,121699.95010027476,1734.6146188674184,5,True,True,True,True
1141,919.93,10,54.94,7,102.21,1,0.01,49.34,243.87,0.01,88.86,248.79,52.53,102873.7348473551,1295.7661296209712,56670.5690892342,725.6690640234604,111010.74200467268,1403.5387154444725,5,True,True,True,True
1142,685.24,2,24.75,4,79.98,2,0.01,100.47,227.37,0.01,144.64,62.33,45.99,48055.55549299726,316.120459167512,213132.52061549795,40772.31194755054,312877.60597102775,51854.97960707197,15,False,False,True,False
